Time,Event,Score
2026-04-03 20:28:20,Normal,30.5
2026-04-03 20:28:20,Normal,30.5
2026-04-03 20:28:20,Normal,30.5
2026-04-03 20:28:21,Normal,30.5
2026-04-03 20:28:21,Normal,30.5
2026-04-03 20:28:21,Normal,30.5
2026-04-03 20:28:21,Normal,30.5
2026-04-03 20:28:22,Normal,30.5
2026-04-03 20:28:22,Normal,30.5
2026-04-03 20:28:22,Normal,30.5
2026-04-03 20:28:23,Normal,30.5
2026-04-03 20:28:23,Normal,30.5
2026-04-03 20:28:23,Normal,30.5
2026-04-03 20:28:23,Normal,30.5
2026-04-03 20:28:24,Normal,30.5
2026-04-03 20:28:24,Normal,30.5
2026-04-03 20:28:24,Normal,30.5
2026-04-03 20:28:25,Normal,30.5
2026-04-03 20:28:25,Normal,30.5
2026-04-03 20:28:25,Normal,30.5
2026-04-03 20:28:25,Normal,30.5
2026-04-03 20:28:26,Normal,30.5
2026-04-03 20:28:26,Normal,30.5
2026-04-03 20:28:26,Normal,30.5
2026-04-03 20:28:27,Normal,30.5
2026-04-03 20:28:27,Normal,30.5
2026-04-03 20:28:27,Normal,30.5
2026-04-03 20:28:28,Normal,30.5
2026-04-03 20:28:28,Normal,30.5
2026-04-03 20:28:28,Normal,30.5
2026-04-03 20:28:28,Normal,30.5
2026-04-03 20:37:31,Looking Left,15.5
2026-04-03 20:37:37,Normal,20.0
2026-04-03 20:37:42,Normal,20.0
2026-04-03 20:37:47,Normal,20.0
2026-04-03 20:37:52,Looking Left,22.0
2026-04-03 20:37:57,Normal,22.0
2026-04-03 20:38:02,Normal,22.0
2026-04-03 20:38:07,Normal,22.0
2026-04-03 20:38:12,Normal,22.0
2026-04-03 20:38:18,Normal,22.0
2026-04-03 20:38:23,Normal,22.0
2026-04-03 20:38:28,Normal,22.0
2026-04-03 20:38:33,Normal,22.0
2026-04-03 20:38:39,Normal,22.0
2026-04-03 20:38:44,Normal,22.0
2026-04-03 20:38:49,Normal,22.0
2026-04-03 20:38:54,Normal,23.0
2026-04-03 20:38:59,Normal,23.0
2026-04-03 20:39:05,Normal,23.0
2026-04-03 20:39:10,Normal,23.0
2026-04-03 20:39:15,Normal,25.0
2026-04-03 20:39:21,Looking Right,29.5
2026-04-03 20:39:26,Looking Right,35.5
2026-04-03 20:39:31,Normal,38.0
2026-04-03 20:39:36,Looking Left,40.5
2026-04-03 20:39:41,Normal,41.5
2026-04-03 20:39:47,Normal,41.5
2026-04-03 20:39:52,Normal,41.5
2026-04-03 20:39:57,Normal,42.0
2026-04-03 20:40:03,Normal,42.0
2026-04-03 20:40:08,Normal,42.0
2026-04-03 20:40:13,Normal,42.0
2026-04-03 20:40:18,Normal,42.0
